StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
1001,17,Female,Caucasian,Some College,19.833722807854716,7,Yes,Moderate,No,No,Yes,No,2.929195591667681,C
1002,18,Male,Caucasian,High School,15.40875605584674,0,No,Low,No,No,No,No,3.042914833436377,B
1003,15,Male,Asian,Bachelor's,4.21056976881226,26,No,Moderate,No,No,No,No,0.1126022544661815,F
1004,17,Female,Caucasian,Bachelor's,10.028829473958217,14,No,High,Yes,No,No,No,2.0542181397029484,D
1005,17,Female,Caucasian,Some College,4.6724952729713305,17,Yes,High,No,No,No,No,1.2880611817953875,F
1006,18,Male,Caucasian,High School,8.191218545250186,0,No,Low,Yes,No,No,No,3.0841836144863937,B
1007,15,Male,African American,High School,15.601680474699297,10,No,High,No,Yes,No,No,2.748237414891583,C
1008,15,Female,African American,Higher,15.424496305808074,22,Yes,Low,Yes,No,No,No,1.360142712316461,F
1009,17,Male,Caucasian,None,4.562007558047703,1,No,Moderate,No,Yes,No,Yes,2.896819189513569,C
1010,16,Female,Caucasian,High School,18.4444663630972,0,No,High,Yes,No,No,No,3.5734742103297656,A
1011,17,Male,Caucasian,High School,11.851363655296536,11,No,Low,No,No,No,No,2.1471716250185144,D
1012,17,Male,Caucasian,High School,7.59848581924029,15,No,Moderate,No,No,No,Yes,1.5595945190402771,F
1013,17,Male,African American,High School,10.038711615617212,21,No,High,Yes,No,No,No,1.520077814874808,F
1014,17,Male,African American,Some College,12.101425068754876,21,No,Very High,No,Yes,No,No,1.7515809583340785,F
1015,18,Female,Caucasian,High School,11.197810636915708,9,Yes,Moderate,No,No,No,No,2.396788117124796,D
1016,15,Male,Caucasian,Some College,9.728100710723565,17,Yes,None,No,Yes,No,No,1.3415207165346672,F
1017,18,Male,Other,High School,10.098656081788002,14,No,Moderate,Yes,Yes,No,No,2.232175277715976,D
1018,18,Female,Caucasian,None,3.5282382085577235,16,Yes,Moderate,No,No,No,No,1.3844041756940335,F
1019,18,Male,African American,Bachelor's,16.25465808609359,29,No,Moderate,Yes,No,No,Yes,0.4695533233798704,F
1020,17,Male,Caucasian,High School,10.835206398820308,9,No,Moderate,No,No,Yes,No,2.3957840945307,D
1021,16,Female,Caucasian,Bachelor's,2.621597234094062,2,No,High,No,No,No,Yes,2.778411299920653,C
1022,15,Male,Caucasian,Some College,15.32314203165556,25,No,Low,Yes,No,No,No,0.3468940367050148,F
1023,16,Female,African American,None,18.648879567547016,29,Yes,Low,No,No,No,No,0.3125462305253549,F
1024,18,Female,Other,Higher,18.94613798473924,20,No,Moderate,Yes,No,No,No,1.7701318767799732,F
1025,18,Female,Caucasian,High School,7.380354648223455,15,No,Moderate,No,No,No,No,1.5051556220362858,F
1026,16,Female,Caucasian,Bachelor's,2.7103374712150807,5,No,Very High,No,No,Yes,No,2.977851918315743,C
1027,16,Male,Caucasian,High School,10.367992532661304,2,No,Moderate,No,Yes,No,No,2.948717671911921,C
1028,16,Female,Caucasian,Bachelor's,2.2521845869844137,8,No,High,No,No,Yes,No,2.145204720467192,D
1029,18,Male,Caucasian,None,18.679748370252344,10,No,High,Yes,No,No,No,2.854803928981318,C
1030,18,Male,Caucasian,Some College,3.67159254710292,20,No,High,Yes,No,No,No,1.519441725815139,F
1031,15,Male,Asian,Some College,5.055317199023282,12,Yes,None,No,Yes,No,No,1.727120309522409,F
1032,15,Male,Caucasian,Bachelor's,8.132730537699409,17,No,Very High,No,No,No,Yes,1.8475354711387904,F
1033,18,Male,Caucasian,Bachelor's,7.663289371182516,25,No,Low,No,Yes,No,No,0.3846169728564877,F
1034,16,Male,Other,Bachelor's,15.89325784795778,21,No,None,Yes,Yes,No,No,0.94940609779728,F
1035,16,Male,Caucasian,Bachelor's,9.126336411019247,27,Yes,Moderate,Yes,Yes,No,No,1.1409594184203395,F
1036,15,Male,Other,High School,3.415365200066738,23,No,Low,No,No,No,No,0.2614722600507521,F
1037,18,Male,Caucasian,High School,5.344197909721482,26,Yes,Low,No,No,No,No,0.2182848568210317,F
1038,15,Male,Asian,High School,10.18226770375044,21,Yes,Low,No,Yes,No,No,1.0677635510419796,F
1039,15,Female,African American,High School,2.949078348522698,3,Yes,Low,Yes,Yes,No,No,3.0189058584279675,B
1040,17,Female,Asian,High School,12.233113512920282,21,Yes,High,Yes,Yes,No,No,1.5268678317927231,F
1041,17,Female,Other,Some College,11.314946131022918,23,Yes,Low,No,No,No,No,1.0582873996898603,F
1042,17,Male,Caucasian,High School,14.294046327645152,7,No,Moderate,No,No,No,No,2.625128097732231,C
1043,16,Female,Other,Some College,18.754092307587356,12,Yes,Very High,No,No,No,No,2.8087548220286536,C
1044,18,Female,Caucasian,High School,18.245091222023117,9,No,Moderate,No,Yes,No,No,2.888891669272444,C
1045,18,Female,Caucasian,High School,18.921512361376628,1,Yes,High,Yes,Yes,No,No,4.0,A
1046,18,Male,Caucasian,Some College,4.894311940474019,7,No,Very High,No,No,Yes,No,2.515300272256249,C
1047,18,Male,African American,Some College,2.6313061327870924,5,No,Low,Yes,No,No,No,2.5637654300150947,C
1048,17,Male,Caucasian,Some College,6.04553400992897,15,No,Moderate,No,No,No,No,1.7036118032323682,F
1049,16,Male,African American,Some College,17.90170345532629,17,No,High,No,No,Yes,No,2.0998851567205854,D
1050,16,Female,African American,High School,19.441069492469765,16,No,Very High,Yes,No,No,No,2.4610469629080955,D
1051,17,Female,Asian,Some College,17.18649902140952,5,No,High,No,No,No,No,2.935477191694632,C
1052,16,Female,Asian,None,2.200354422550872,12,Yes,Low,Yes,No,Yes,No,1.9863780592187463,F
1053,17,Female,Caucasian,High School,18.948559961195865,22,No,Very High,No,No,Yes,No,1.5715441913992825,F
1054,18,Male,Caucasian,Some College,8.46716054701572,13,No,Low,No,Yes,No,No,1.6643106896610833,F
1055,17,Male,Caucasian,None,0.1862058152470735,29,Yes,Moderate,Yes,Yes,No,No,0.7562591665741925,F
1056,18,Male,Caucasian,High School,8.847874814963872,25,No,Moderate,No,Yes,No,No,0.8027695392342074,F
1057,18,Female,Caucasian,Higher,0.9213833935093518,20,No,Moderate,No,Yes,Yes,No,1.3423871779577343,F
1058,15,Male,Caucasian,Higher,10.87755842322235,29,No,High,Yes,No,No,No,0.2865712882866222,F
1059,17,Male,Caucasian,High School,6.771080548741026,9,Yes,High,No,Yes,No,No,2.61383869367367,C
1060,15,Female,Other,None,9.468698671880976,23,No,High,No,Yes,No,No,0.9290125546259368,F
1061,17,Female,African American,High School,12.26340721486234,10,No,None,Yes,No,Yes,No,1.892758695926592,F
1062,17,Male,Caucasian,High School,17.376021916356407,12,No,Moderate,No,No,Yes,No,2.331261549308754,D
1063,15,Male,African American,Bachelor's,13.238031529438572,11,No,High,No,Yes,No,No,2.234238472600233,D
1064,15,Male,Caucasian,High School,8.680977369563614,8,No,Moderate,No,Yes,No,No,2.3858282190764624,D
1065,17,Male,Caucasian,Some College,16.388557073407302,3,Yes,Very High,No,No,No,No,3.347356743507809,B
1066,16,Male,African American,High School,18.111642751462643,6,Yes,High,Yes,No,No,No,3.2618553073332905,B
1067,18,Male,Caucasian,Higher,2.3951993286439444,23,No,High,No,Yes,No,No,1.0396238791477144,F
1068,15,Female,Caucasian,High School,10.638659551055827,28,No,None,No,Yes,No,No,0.0278186247324679,F
1069,18,Female,Other,Some College,5.690239194848883,21,Yes,High,No,No,Yes,No,1.3299645378768772,F
1070,16,Female,Asian,High School,0.941223957538948,1,No,Very High,No,No,Yes,No,3.283916521897384,B
1071,16,Male,African American,Some College,13.370933902279706,6,No,Moderate,Yes,No,No,No,2.937454182316864,C
1072,16,Female,African American,High School,17.255415549184512,28,No,High,No,No,Yes,Yes,0.7388682028052602,F
1073,15,Male,African American,High School,3.258053089547881,8,No,Moderate,Yes,Yes,No,No,2.556801662833417,C
